video_id,title,category_id,category_name,upload_date,upload_hour,upload_day,title_length,description_length,tag_count,duration_seconds,views,likes,dislikes,comments,like_view_ratio,comment_view_ratio,has_face_thumbnail,thumbnail_brightness,has_text_thumbnail,trending
vid_00037,Best Guide Review Best Real Ultimate Tutorial Inside Why Inside Exp,10,Music,2023-07-20 12:00:00,19,0,67,833,4,450,2478060,262137,20961,28289,0.1058,0.011416,0,122,0,1
vid_00038,Amazing Reaction Ultimate Secret,17,Sports,2023-07-25 04:00:00,2,3,32,420,12,2290,447989,42482,2646,6683,0.0948,0.014918,1,104,1,0
vid_00039,Exposed Inside First Reaction Last First How Last Breakin,28,Science & Technology,2023-04-20 00:00:00,4,3,57,536,26,2977,951547,99623,3566,27599,0.1047,0.029004,0,166,0,1
vid_00040,Reaction Explained Challenge Guide Last Secret Re,28,Science & Technology,2023-01-31 12:00:00,18,4,49,2087,19,2559,7890718,379116,28839,63307,0.048,0.008023,0,112,1,1
vid_00041,Best Top Viral Reaction Inside Secret Last Secret Why Inside Best Inside Why ,24,Entertainment,2023-04-03 20:00:00,6,6,77,3246,22,377,104316,11474,723,2286,0.11,0.021914,1,233,0,0
vid_00042,Breaking Exposed How Inside Why Challenge Explained Reaction Real Challenge Viral Review Vir,10,Music,2023-01-13 20:00:00,20,6,92,1410,7,195,86261,5089,56,1975,0.059,0.022895,1,104,1,0
vid_00043,Explained Amazing ,22,People & Blogs,2023-02-17 00:00:00,8,6,18,4337,26,966,1056745,32977,3005,7829,0.0312,0.007409,1,74,0,1
vid_00044,Top Breaking Breaking Tutorial New Challenge Breaking A,23,Comedy,2023-01-04 16:00:00,6,2,55,4875,13,377,233528,24731,1461,3626,0.1059,0.015527,1,75,1,0
vid_00045,Top Exposed Guide Breaking First Best Last Breaking Breakin,25,News & Politics,2023-09-14 20:00:00,17,1,59,2311,14,2926,11491,1318,116,128,0.1147,0.011138,1,226,0,0
vid_00046,First 2024 Top First Official Official vs New First How Breaking,10,Music,2023-10-14 08:00:00,3,2,64,2671,10,427,56671,5043,451,1325,0.089,0.02338,0,112,1,0
vid_00047,vs Secret Viral Inside Amazing First Explained How Last 2024 Guide New 2024 New Challenge Exp,25,News & Politics,2023-11-05 12:00:00,13,5,93,1006,0,612,252568,12837,642,4811,0.0508,0.019048,0,222,1,0
vid_00048,Ultimate 2024 Reaction Real Secret Reactio,17,Sports,2023-02-06 00:00:00,17,5,42,430,20,2803,610363,32139,1789,9035,0.0527,0.014803,1,122,0,1
vid_00049,Reaction Exposed Best Breaking New Ultimate Inside Guide,17,Sports,2023-10-07 08:00:00,8,1,56,3699,2,3536,643974,46361,2198,15198,0.072,0.0236,1,128,1,1
vid_00050,Inside Inside Challenge Inside Reaction New Explained Ultimate Secret Review Viral First 2024 ,25,News & Politics,2023-10-19 20:00:00,20,4,94,4943,16,1630,22881187,2535345,127906,178919,0.1108,0.007819,0,216,1,1
vid_00051,Official Viral Last How First Review 2024 Viral Secret Tutorial Amazing Real Amazing Secre,23,Comedy,2023-01-03 08:00:00,1,1,90,288,27,3322,304453,13232,1198,6958,0.0435,0.022854,0,114,0,0
vid_00052,Best 2024 Breaking Viral Last Why Why Last Secret New Why Breaking Reaction Challen,10,Music,2023-09-18 04:00:00,19,3,83,1155,18,337,1175095,122606,9922,30665,0.1043,0.026096,1,118,0,1
vid_00053,Review Exposed ,22,People & Blogs,2023-04-16 16:00:00,14,5,15,1436,13,3068,32709,1838,39,866,0.0562,0.026475,1,233,0,0
vid_00054,Top Real First 2024 Guide Amazing Why Challenge Real ,24,Entertainment,2023-06-30 12:00:00,6,0,53,2602,21,2875,460130,47288,3070,10917,0.1028,0.023726,0,58,0,0
vid_00055,Tutorial Reaction Challenge vs ,20,Gaming,2023-06-06 16:00:00,11,0,31,2299,29,2796,928493,104756,10437,11914,0.1128,0.012832,1,247,0,1
vid_00056,Exposed Challenge 2024 Explained Inside Reaction ,17,Sports,2023-03-24 12:00:00,7,4,49,1577,22,2543,40938,2803,178,1206,0.0685,0.029458,0,205,0,0
vid_00057,Secret Tutorial Reaction Breaking Viral Explained vs Inside ,28,Science & Technology,2023-05-23 20:00:00,14,3,60,1717,7,128,90591,5694,459,1087,0.0629,0.011999,0,222,1,0
vid_00058,2024 New Secret Breaking Last Top Inside Why Best Amazin,23,Comedy,2023-07-13 12:00:00,2,2,56,4182,12,1295,1619934,165557,13114,31621,0.1022,0.01952,1,75,1,1
vid_00059,2024 Guide First Review Why Challenge New Reaction Be,20,Gaming,2023-03-13 04:00:00,13,3,53,2741,26,187,182029,14135,587,1032,0.0777,0.005669,0,77,1,0
vid_00060,2024 Exposed Exposed vs Amazing Top vs Secret Explained Challen,22,People & Blogs,2023-04-11 12:00:00,16,0,63,3722,19,2687,367847,33694,1464,10826,0.0916,0.029431,0,89,0,0
vid_00061,Inside Amazing Secret Explained Why Official vs Amazing Exposed Real Guide G,27,Education,2023-01-07 16:00:00,3,0,76,2046,2,583,1171036,100773,7574,25078,0.0861,0.021415,0,192,0,1
vid_00062,Official Ultimate vs Exposed Review Exposed Exposed ,24,Entertainment,2023-03-27 20:00:00,17,5,52,1475,4,680,21887844,957811,52678,500092,0.0438,0.022848,1,183,1,1
vid_00063,Why Inside Inside Breaking Tutorial C,17,Sports,2023-04-07 16:00:00,7,3,37,2862,8,2997,356149,37762,2316,1035,0.106,0.002906,0,76,1,0
vid_00064,2024 Last vs First Last Last Reactio,24,Entertainment,2023-10-28 04:00:00,3,3,36,3297,28,2304,12290269,585259,43403,284385,0.0476,0.023139,1,87,0,1
vid_00065,Ultimate Exposed S,20,Gaming,2023-01-12 04:00:00,1,0,18,2642,5,2500,13019,1482,118,305,0.1138,0.023425,0,245,1,0
vid_00066,Amazing Exposed Tutorial Ultimate Viral First Exposed Viral Sec,24,Entertainment,2023-01-25 20:00:00,5,2,63,1540,24,3173,577840,30366,1045,11834,0.0526,0.02048,0,252,0,1
vid_00067,First Explained Why Inside Last Exposed Real Challenge Inside Best Review,27,Education,2023-02-18 04:00:00,21,4,73,1274,21,2320,339459,32604,756,3213,0.096,0.009465,0,134,0,0
vid_00068,New Breaking Challenge vs Guide New Real Amazing Challenge Challenge Official First Gui,20,Gaming,2023-04-16 04:00:00,9,6,87,2637,1,2607,169663,9436,342,2579,0.0556,0.015201,0,113,1,0
vid_00069,Secret Secret Top Real First Viral First Ultimate Challenge How Tutorial Best Real,17,Sports,2023-10-25 00:00:00,3,4,82,3114,12,1098,1735563,101705,5662,7293,0.0586,0.004202,0,79,0,1
vid_00070,Guide Ultimate First Breaking Official Real New Why Amazing Breaking How Tutorial Ult,10,Music,2023-01-02 12:00:00,21,3,85,882,4,1525,484036,28025,1143,7103,0.0579,0.014674,1,148,0,0
vid_00071,New Guide Ultima,28,Science & Technology,2023-06-07 16:00:00,17,4,16,4742,27,2448,13290,1293,79,107,0.0973,0.008051,1,180,0,0
vid_00072,Breaking Top Why Explained Ultimate Tutorial Best First Explain,20,Gaming,2023-10-26 12:00:00,11,0,63,2490,26,1908,25360,2031,30,282,0.0801,0.011119,0,239,0,0
vid_00073,Explained Last Explained Explained Challenge ,26,Howto & Style,2023-09-25 20:00:00,1,0,45,4845,24,2729,2052810,224712,12556,11732,0.1095,0.005715,1,61,1,1
vid_00074,Tutorial Ultimate 2024 Review Explained vs Guide Real ,27,Education,2023-08-06 00:00:00,9,3,54,1696,7,2766,29378,1694,73,225,0.0577,0.007659,1,140,0,0
vid_00075,Secret New Reaction 2024 New 2024 Review vs Guide 2024 First L,20,Gaming,2023-05-31 20:00:00,3,3,62,490,22,763,1702959,157147,9133,5484,0.0923,0.00322,0,79,0,1
vid_00076,Top Tutorial Inside Amazing Best Breaking Exposed Guide Exposed E,20,Gaming,2023-04-23 12:00:00,13,6,65,1579,0,1980,636890,62265,2990,17627,0.0978,0.027677,1,87,1,1
vid_00077,Explained First Reaction How Amazing 2024 Challenge Secre,26,Howto & Style,2023-10-09 12:00:00,15,6,57,3015,19,121,411909,17972,639,6747,0.0436,0.01638,1,134,0,0
vid_00078,How Review Guide Guide Viral How Tutorial Guide Challenge Secret Insi,17,Sports,2023-08-13 16:00:00,14,5,69,2417,11,3123,527249,34826,3182,6593,0.0661,0.012505,1,109,0,1
vid_00079,Exposed Why Top Best Explained New Secret Secret Ultimate How A,20,Gaming,2023-01-25 00:00:00,7,3,63,3336,22,2249,1285073,94393,2513,21224,0.0735,0.016516,1,87,1,1
vid_00080,Exposed Real Breaking Review Best Amazing 2024 First Breaking Guide Viral First Official React,28,Science & Technology,2023-08-11 08:00:00,13,2,94,4713,10,1657,63757,3953,281,1225,0.062,0.019213,0,153,1,0
vid_00081,New vs Ultimate Amazing Real First Inside Exposed Why Review Breaking U,24,Entertainment,2023-05-16 08:00:00,22,4,71,4381,6,1245,549016,32386,3018,15226,0.059,0.027733,1,192,0,1
vid_00082,Ultimate Ultimate Explained Real Real Best Explained 2024 Last How Secret Challenge Review ,17,Sports,2023-01-16 16:00:00,7,3,91,1354,14,1130,68269,6265,366,422,0.0918,0.006181,0,195,0,0
vid_00083,Exposed Inside Guide Reaction,28,Science & Technology,2023-02-06 08:00:00,20,1,29,3084,21,1334,831538,41101,3652,7958,0.0494,0.00957,0,229,1,1
vid_00084,Viral Ultimate Tutorial Tutorial New Top ,17,Sports,2023-06-24 20:00:00,15,5,41,3738,23,1417,1791797,168151,3570,52495,0.0938,0.029297,1,78,0,1
vid_00085,How Official Ultimate Official How Tutorial Secret Tutorial Challenge 2024 Reactio,28,Science & Technology,2023-01-12 08:00:00,12,1,82,4023,10,208,715705,81700,4447,8419,0.1142,0.011763,0,161,0,1
vid_00086,vs Review Best Explained Secret Explained Guide Review Exposed vs Breaking Best vs Secret Expo,27,Education,2023-09-15 16:00:00,17,0,94,1235,28,2315,1521558,123045,6291,2517,0.0809,0.001654,1,237,0,1
vid_00087,Tutorial Amazing New Explained Top Challenge Explained Challenge Review Reacti,28,Science & Technology,2023-08-17 20:00:00,14,6,78,3312,21,3236,125488,10670,114,662,0.085,0.005275,0,70,1,0
vid_00088,2024 Ultimate 2024 Review Exposed Real Why E,25,News & Politics,2023-03-03 04:00:00,20,4,44,2157,25,2954,700547,25362,1265,1235,0.0362,0.001763,1,194,0,1
vid_00089,Best Top Real Inside Guide Guide Explained Secret ,28,Science & Technology,2023-07-27 20:00:00,23,3,50,1890,15,2979,437587,47173,2038,12999,0.1078,0.029706,1,195,1,0
vid_00090,2024 Viral Best Tutorial Best How Best Top Viral Official vs New Inside Top Viral,10,Music,2023-09-19 12:00:00,12,1,81,4370,2,309,256224,14269,1002,2328,0.0557,0.009086,0,234,1,0
vid_00091,Real How New Last Why New Exposed Breaking Top Tutorial Officia,10,Music,2023-07-06 12:00:00,8,4,63,2797,19,1072,120403,10276,970,3345,0.0853,0.027781,1,168,1,0
vid_00092,Ultimate Amazing Ultimate Secret First Exposed Viral How Best Official Real 2024 Secret Br,23,Comedy,2023-01-14 08:00:00,14,0,90,4727,13,1648,280632,33148,587,8385,0.1181,0.029879,1,214,1,0
vid_00093,How Top Why Why Tutorial First Why Top Real Explained 2024 Inside Las,25,News & Politics,2023-08-30 12:00:00,12,6,69,4314,2,2817,68657,5739,226,1262,0.0836,0.018381,1,109,0,0
vid_00094,First Guide Explained 2024 Challenge Secret Real vs How Reaction Inside Viral vs Viral Ultimate Why,25,News & Politics,2023-10-12 00:00:00,0,2,99,3183,0,400,24107,2295,114,47,0.0952,0.00195,1,215,1,0
vid_00095,Best Viral Reaction Viral 2024 Inside Top Challenge Viral How Breaking,24,Entertainment,2023-10-22 20:00:00,6,5,70,3470,25,1830,125330,8782,447,421,0.0701,0.003359,0,189,0,0
vid_00096,Secret vs Real Inside How Explained First Top Amazing vs Tutorial Amazing Explaine,25,News & Politics,2023-06-18 12:00:00,8,4,82,1515,20,3213,1365085,48368,3856,20429,0.0354,0.014965,0,252,1,1
vid_00097,Best Real Why Last Review Viral Explained How Official Why,24,Entertainment,2023-07-25 08:00:00,23,4,58,4159,14,2947,889974,90585,4520,11372,0.1018,0.012778,0,162,1,1
vid_00098,2024 Explained How Breaking First Tutorial Ul,23,Comedy,2023-03-21 12:00:00,0,2,45,2261,0,1733,58289,1932,24,1082,0.0331,0.018562,1,250,0,0
vid_00099,Viral Best Exposed 2024 Challenge First Last Exposed Viral Best Ultimate,23,Comedy,2023-08-23 12:00:00,11,4,72,2854,16,3096,213028,19824,1465,2924,0.0931,0.013726,0,178,1,0
vid_00100,Secret How Last Reaction Tutorial Ultimate Secret Explained New vs ,27,Education,2023-01-10 04:00:00,7,0,67,1593,1,2298,1769481,56734,5085,49701,0.0321,0.028088,1,107,1,1
vid_00101,Ultimate Ultimate Guide Ultimate Official Top How Real Explained Amazing New Why Why 2024 Review B,10,Music,2023-05-18 08:00:00,23,0,98,1739,28,2997,226947,24421,1373,3746,0.1076,0.016506,1,52,0,0
vid_00102,Ultimate Inside How Review Why Top Explained How Top Real Inside Guide Ultimate Amazing How R,28,Science & Technology,2023-09-19 16:00:00,10,2,93,1621,19,333,39647,1751,109,837,0.0442,0.021111,1,240,1,0
vid_00103,Reaction 2024 Guide Best Best Top Off,28,Science & Technology,2023-07-05 20:00:00,18,5,37,4591,5,1378,36042293,2749465,67813,973072,0.0763,0.026998,0,198,1,1
vid_00104,Inside Breaking Best Tutorial Challenge Ul,26,Howto & Style,2023-02-02 16:00:00,16,3,42,3329,7,1490,360332,30175,900,1895,0.0837,0.005259,0,72,1,0
vid_00105,Challenge How Last First Ultim,26,Howto & Style,2023-09-15 08:00:00,7,1,30,3591,28,2515,54478,3877,120,417,0.0712,0.007654,0,186,0,0
vid_00106,Official Official Best Official Breaking New Best A,22,People & Blogs,2023-04-02 20:00:00,2,3,51,4861,15,1223,794846,48222,2351,3268,0.0607,0.004111,0,132,1,1
vid_00107,Inside Inside New Guide Official Ul,17,Sports,2023-09-21 00:00:00,2,4,35,3073,18,2452,436121,31445,2941,2202,0.0721,0.005049,1,104,0,0
vid_00108,Ultimate vs Real Secret Inside New Tutorial 2024 Review Tutorial Explained Reaction Breaking ,27,Education,2023-09-26 20:00:00,0,1,93,868,0,2458,27593,1601,91,437,0.058,0.015837,0,159,0,0
vid_00109,Ultimate Breaking How 2024 Best,22,People & Blogs,2023-01-21 04:00:00,4,2,31,4571,2,3063,523380,36338,991,5398,0.0694,0.010314,0,165,0,1
vid_00110,Real Official Guide Inside vs vs Guide Reaction 202,22,People & Blogs,2023-08-30 16:00:00,9,2,51,1174,27,2091,2859147,178131,6047,37946,0.0623,0.013272,0,196,1,1
vid_00111,Reaction First Ultimate Breaking New Explained Best 2024 Breaking Why Explained New Guide N,20,Gaming,2023-10-24 16:00:00,6,5,91,4995,2,2820,290907,23551,1049,8579,0.081,0.02949,0,111,1,0
vid_00112,Amazing Viral Ultimate Challenge ,20,Gaming,2023-04-08 20:00:00,8,1,33,1179,4,698,12472,641,42,69,0.0514,0.005532,1,136,1,0
vid_00113,Best 2024 Breaking Reaction Reaction Challen,22,People & Blogs,2023-04-26 20:00:00,6,0,44,1752,26,529,900556,107147,5314,15024,0.119,0.016683,0,216,1,1
vid_00114,2024 Breaking Tutorial First Secret vs New Review Guide Sec,25,News & Politics,2023-01-19 12:00:00,8,1,59,2051,11,1444,1728648,129783,5881,6685,0.0751,0.003867,0,149,0,1
vid_00115,Review Exposed vs Amazing How In,17,Sports,2023-11-20 04:00:00,7,4,32,3928,11,1602,184753,8771,533,1891,0.0475,0.010235,0,253,0,0
vid_00116,Review Why Reaction Amazing Last How Secret Explained Last Last vs Ultimate Secret Explained,27,Education,2023-08-30 00:00:00,11,0,92,4422,19,2642,179413,13085,415,2924,0.0729,0.016298,1,76,1,0
vid_00117,Reaction Tutorial Inside Official Best Amazing Top Challenge Tutorial Secret,22,People & Blogs,2023-09-04 04:00:00,1,6,76,1856,12,559,30906061,3337154,57069,879349,0.108,0.028452,0,223,1,1
vid_00118,vs Review Top Tutorial Real Viral Top Inside Expos,28,Science & Technology,2023-05-10 08:00:00,0,6,50,2997,19,2036,148824,4756,58,1837,0.032,0.012343,0,83,0,0
vid_00119,Challenge Guide Tutorial Explained Ultimate Amazing Secret Challenge vs Top New Exposed Last Tutor,17,Sports,2023-01-11 12:00:00,15,6,98,3259,8,2569,70468,6423,209,203,0.0911,0.002881,0,82,1,0
vid_00120,Viral Reaction Amazing Review Why Tutorial Viral Real Why How Amaz,20,Gaming,2023-11-18 20:00:00,22,2,66,2202,6,3486,532301,42220,770,6524,0.0793,0.012256,1,141,1,1
vid_00121,New Top Explained Amazing Amazing,28,Science & Technology,2023-09-22 16:00:00,22,1,33,4691,3,1249,1431850,64805,2609,7483,0.0453,0.005226,1,145,1,1
vid_00122,2024 Reaction Last Guide Real Tutorial Best Guide Top Expl,20,Gaming,2023-08-03 20:00:00,23,6,58,4255,18,784,1268938,131427,10456,9732,0.1036,0.007669,0,227,1,1
vid_00123,Breaking Amazing Top ,20,Gaming,2023-03-28 12:00:00,4,3,21,594,21,2377,5205,328,24,98,0.063,0.018824,0,197,1,0
vid_00124,Ultimate Breaking Reaction Exposed Last Tutorial Guide Cha,17,Sports,2023-02-11 20:00:00,2,5,58,2451,18,844,170373,9616,624,503,0.0564,0.002952,1,217,1,0
vid_00125,Exposed Breaking Viral Viral Real Exposed Best vs Secret Challenge Official Last G,20,Gaming,2023-02-02 04:00:00,11,3,82,4888,5,2624,4052969,423661,36742,58674,0.1045,0.014477,1,144,0,1
vid_00126,Last Challenge New Last Breaking Challenge React,23,Comedy,2023-10-18 20:00:00,7,6,48,2414,26,756,1007629,88134,3118,18816,0.0875,0.018674,1,235,0,1
vid_00127,Exposed Best Amazing Best Why Why Top Best Breaking vs Last Secret 2024 Breaking,10,Music,2023-09-08 20:00:00,21,5,80,1339,12,760,92419,10244,918,1223,0.1108,0.013233,1,208,0,0
vid_00128,Explained Secret Reaction vs How Ultimate vs Ultimate Top Real Last Real Real Last ,23,Comedy,2023-04-13 16:00:00,2,4,83,3815,10,857,5713942,495338,22751,8883,0.0867,0.001555,1,87,0,1
vid_00129,Challenge Why First vs Last Best Amazing 2024 Real First Secret Best ,10,Music,2023-01-11 04:00:00,0,3,69,1925,12,2679,3015080,291478,13431,89186,0.0967,0.02958,0,222,1,1
vid_00130,Best Why Viral 2024 Vira,26,Howto & Style,2023-03-18 12:00:00,2,1,24,4478,12,1361,311276,32771,1523,3625,0.1053,0.011646,0,90,1,0
vid_00131,Tutorial New How New Last Challenge Guide Inside New Exp,26,Howto & Style,2023-11-08 20:00:00,4,1,56,4737,27,2076,2369882,82771,1558,55878,0.0349,0.023578,0,186,0,1
vid_00132,Guide Inside Review Challenge Viral How Official How Ch,20,Gaming,2023-04-01 16:00:00,14,3,55,832,24,3353,17802877,1777517,173830,185928,0.0998,0.010444,0,186,0,1
vid_00133,Viral Amazing Secret Best Last Exposed Review Viral Top Challenge Tutorial Amazing 2024 Vir,27,Education,2023-03-27 04:00:00,13,6,91,589,21,3109,76257,6499,146,1126,0.0852,0.014766,1,240,0,0
vid_00134,Ultimate Breaking Top Breaking New Best Last Exposed How Exposed Amazing Best Top v,27,Education,2023-10-29 20:00:00,2,1,83,2832,27,2845,1382722,50131,2039,16959,0.0363,0.012265,1,128,0,1
vid_00135,2024 Explained Challenge,10,Music,2023-10-02 20:00:00,0,4,24,2718,19,904,18155107,1375649,53288,198501,0.0758,0.010934,1,254,0,1
vid_00136,Explained Reaction vs Ne,28,Science & Technology,2023-11-10 12:00:00,4,0,24,4764,14,3309,1977880,74014,1237,3231,0.0374,0.001634,1,177,1,1
vid_00137,Review Amazing How Explained Amazing Best Tutorial Official Tutorial Insid,17,Sports,2023-08-09 16:00:00,22,6,74,3987,20,3014,130858,12593,298,1497,0.0962,0.01144,1,71,1,0
vid_00138,Last Last Review vs Secret Real How Best Secret Breaking Why Revi,20,Gaming,2023-07-17 16:00:00,13,4,65,3006,12,2208,816159,64627,907,21869,0.0792,0.026795,0,65,0,1
vid_00139,Amazing Best Secret Secret First Of,17,Sports,2023-10-10 08:00:00,6,5,35,3772,21,2033,5208434,603249,21907,109488,0.1158,0.021021,0,81,0,1
vid_00140,How Best Real Inside L,23,Comedy,2023-04-28 00:00:00,8,4,22,3917,10,1707,85300,3964,348,445,0.0465,0.005217,0,243,1,0
