video_id,title,category_id,category_name,upload_date,upload_hour,upload_day,title_length,description_length,tag_count,duration_seconds,views,likes,dislikes,comments,like_view_ratio,comment_view_ratio,has_face_thumbnail,thumbnail_brightness,has_text_thumbnail,trending,duration_minutes,is_weekend,is_prime_time,optimal_tags,optimal_title
vid_00010,How How vs Last Breaking Top Breaking Review Challenge Reaction Rea,10,Music,2023-06-21 12:00:00,10,4,67,155,26,1673,1695229.0,145785.0,14542,7331.0,0.086,0.004324,0,185,0,1,27.88,0,0,0,0
vid_00011,Inside Review Last First Breaking vs Breaking F,10,Music,2023-04-12 00:00:00,23,4,47,3251,4,850,644802.0,20048.0,255,15249.0,0.0311,0.023649,0,219,0,1,14.17,0,0,0,1
vid_00012,Top Ultimate Best First Breaking Explained Reaction Reaction Tutorial Guide Ultimate ,17,Sports,2023-04-23 16:00:00,20,5,85,719,3,1451,3004196.0,222244.0,4047,65790.0,0.074,0.021899,1,253,0,1,24.18,1,1,0,0
vid_00013,Explained Last Challenge Challenge Real New Last Reaction Ultimate Bre,24,Entertainment,2023-02-21 16:00:00,3,4,70,4521,20,3373,3781081.0,332653.0,5632,75694.0,0.088,0.020019,0,91,1,1,56.22,0,0,0,0
vid_00014,Challenge Last Amazing Exposed Why Last Reaction Guide Reaction Amazing How Explained ,27,Education,2023-07-18 16:00:00,7,0,86,792,7,712,254135.0,28625.0,1312,1397.0,0.1126,0.005497,1,62,0,0,11.87,0,0,0,0
vid_00015,First Inside vs 2024 vs vs Real Challenge Why Viral First Real Ch,24,Entertainment,2023-06-30 00:00:00,23,5,65,1016,18,3217,33913340.04999998,2775455.4299999997,322089,523285.0,0.0643,0.008772,1,203,0,1,53.62,1,0,0,0
vid_00016,Breaking Secret Top vs 2024 Review Last Best First Tutorial Inside New Secret Secret Sec,25,News & Politics,2023-01-13 12:00:00,2,5,88,357,13,285,285093.0,28186.0,2423,3535.0,0.0989,0.012399,0,67,1,0,4.75,1,0,1,0
vid_00017,Why Ultimate vs Breaking How Top vs Review Reaction Guide,28,Science & Technology,2023-10-13 04:00:00,21,3,57,2188,6,3182,534446.0,44782.0,3418,4873.0,0.0838,0.009118,1,91,0,1,53.03,0,1,0,1
vid_00018,Why Viral Best Exposed Explai,20,Gaming,2023-01-29 08:00:00,20,4,29,3514,13,2857,239144.0,27126.0,2460,1819.0,0.1134,0.007606,1,100,1,0,47.62,0,1,1,0
vid_00019,Inside Tutorial Review Last Real Reaction Real Guide,27,Education,2023-02-01 20:00:00,1,6,52,4947,5,3229,1298877.0,85536.0,3340,31634.0,0.0659,0.024355,0,162,1,1,53.82,1,0,0,1
vid_00020,Why vs First New Review Why I,27,Education,2023-07-09 12:00:00,23,5,29,159,11,867,361918.0,21251.0,381,7060.0,0.0587,0.019507,1,193,0,0,14.45,1,0,1,0
vid_00021,Ultimate New Offici,24,Entertainment,2023-01-31 00:00:00,11,6,19,3682,15,2992,529703.0,58184.0,886,9216.0,0.1098,0.017398,1,150,0,1,49.87,1,0,1,0
vid_00022,Inside 2024 Explained 2024 Challenge Last Why Last Amazing Explained How Official Guide How How O,27,Education,2023-07-13 00:00:00,5,0,97,4485,16,2312,305778.0,10528.0,912,2309.0,0.0344,0.007551,0,52,1,0,38.53,0,0,0,0
vid_00023,Tutorial Viral Exposed Secret Exposed Challenge Inside Secret First ,26,Howto & Style,2023-11-14 20:00:00,1,3,68,1965,12,582,352248.0,14891.0,1127,9730.0,0.0423,0.027623,0,128,0,0,9.7,0,0,1,0
vid_00024,First Guide Top Ultimate Real First Viral Viral Breaking Exposed ,26,Howto & Style,2023-09-30 12:00:00,20,1,65,4313,22,210,823555.0,30814.0,2245,5389.0,0.0374,0.006544,0,147,1,1,3.5,0,1,0,0
vid_00025,Amazing Viral Top Viral ,25,News & Politics,2023-11-21 00:00:00,0,6,24,606,13,186,271488.0,28745.0,1166,6530.0,0.1059,0.024053,1,222,0,0,3.1,1,0,1,0
vid_00026,Inside vs Best Ultimate To,20,Gaming,2023-07-30 16:00:00,11,5,26,154,28,1507,246182.0,7620.0,336,7147.0,0.031,0.029031,1,199,0,0,25.12,1,0,0,0
vid_00027,Challenge Secret C,23,Comedy,2023-06-08 04:00:00,21,0,18,2097,6,600,4272051.0,459455.0,44213,94351.0,0.1075,0.022086,0,72,1,1,10.0,0,1,0,0
vid_00028,First Ultimate Secret Last New F,17,Sports,2023-08-10 12:00:00,11,2,32,195,13,886,359956.0,25417.0,400,10724.0,0.0706,0.029792,1,108,0,0,14.77,0,0,1,0
vid_00029,First Best Official Guide Best Challenge Why Challenge Inside 2024 Exposed Ultimate 2024 2024 ,24,Entertainment,2023-05-23 00:00:00,16,0,94,2813,14,1814,1058872.0,32149.0,2560,21050.0,0.0304,0.01988,0,239,0,1,30.23,0,0,1,0
vid_00030,2024 New Reaction Reaction Why Breaking New Real H,17,Sports,2023-01-17 20:00:00,9,0,50,923,11,1757,117774.0,7790.0,294,860.0,0.0661,0.007302,0,162,0,0,29.28,0,0,1,1
vid_00031,First Real Guide First Challenge 2024 B,23,Comedy,2023-05-09 08:00:00,15,3,39,348,16,1077,198701.0,9301.0,125,1373.0,0.0468,0.00691,0,117,1,0,17.95,0,0,0,0
vid_00032,Breaking How Official Secret 2024 Ultimate Explained Reaction Viral Real Explained Explain,24,Entertainment,2023-11-23 08:00:00,14,1,90,3288,8,1526,66401.0,5723.0,439,691.0,0.0862,0.010406,1,103,0,0,25.43,0,0,1,0
vid_00033,Guide Challenge Reaction Review New New Why Viral ,24,Entertainment,2023-01-22 20:00:00,14,2,50,695,21,1453,15761049.0,1436498.0,57146,19019.0,0.0911,0.001207,1,106,1,1,24.22,0,0,0,1
vid_00034,Inside First Secret Why First Exposed Secret Tutorial Viral Official Viral First ,20,Gaming,2023-01-03 16:00:00,18,4,81,4783,14,3025,8838440.0,652961.0,48967,183567.0,0.0739,0.020769,0,200,0,1,50.42,0,1,1,0
vid_00035,First Breaking Amazing ,17,Sports,2023-10-15 20:00:00,11,4,23,3128,11,621,1550592.0,52172.0,3844,13631.0,0.0336,0.008791,0,160,1,1,10.35,0,0,1,0
vid_00036,Challenge New vs Top Amazing Official Viral Inside Explained Ultimate Chall,26,Howto & Style,2023-11-25 20:00:00,22,6,75,2561,1,2211,24440369.0,2176453.0,126518,585482.84,0.0891,0.02464,1,109,0,1,36.85,1,0,0,0
vid_00037,Best Guide Review Best Real Ultimate Tutorial Inside Why Inside Exp,10,Music,2023-07-20 12:00:00,19,0,67,833,4,450,2478060.0,262137.0,20961,28289.0,0.1058,0.011416,0,122,0,1,7.5,0,1,0,0
vid_00038,Amazing Reaction Ultimate Secret,17,Sports,2023-07-25 04:00:00,2,3,32,420,12,2290,447989.0,42482.0,2646,6683.0,0.0948,0.014918,1,104,1,0,38.17,0,0,1,0
vid_00039,Exposed Inside First Reaction Last First How Last Breakin,28,Science & Technology,2023-04-20 00:00:00,4,3,57,536,26,2977,951547.0,99623.0,3566,27599.0,0.1047,0.029004,0,166,0,1,49.62,0,0,0,1
vid_00040,Reaction Explained Challenge Guide Last Secret Re,28,Science & Technology,2023-01-31 12:00:00,18,4,49,2087,19,2559,7890718.0,379116.0,28839,63307.0,0.048,0.008023,0,112,1,1,42.65,0,1,0,1
vid_00041,Best Top Viral Reaction Inside Secret Last Secret Why Inside Best Inside Why ,24,Entertainment,2023-04-03 20:00:00,6,6,77,3246,22,377,104316.0,11474.0,723,2286.0,0.11,0.021914,1,233,0,0,6.28,1,0,0,0
vid_00042,Breaking Exposed How Inside Why Challenge Explained Reaction Real Challenge Viral Review Vir,10,Music,2023-01-13 20:00:00,20,6,92,1410,7,195,86261.0,5089.0,56,1975.0,0.059,0.022895,1,104,1,0,3.25,1,1,0,0
vid_00043,Explained Amazing ,22,People & Blogs,2023-02-17 00:00:00,8,6,18,4337,26,966,1056745.0,32977.0,3005,7829.0,0.0312,0.007409,1,74,0,1,16.1,1,0,0,0
vid_00044,Top Breaking Breaking Tutorial New Challenge Breaking A,23,Comedy,2023-01-04 16:00:00,6,2,55,4875,13,377,233528.0,24731.0,1461,3626.0,0.1059,0.015527,1,75,1,0,6.28,0,0,1,1
vid_00045,Top Exposed Guide Breaking First Best Last Breaking Breakin,25,News & Politics,2023-09-14 20:00:00,17,1,59,2311,14,2926,11491.0,1318.0,116,128.0,0.1147,0.011138,1,226,0,0,48.77,0,0,1,1
vid_00046,First 2024 Top First Official Official vs New First How Breaking,10,Music,2023-10-14 08:00:00,3,2,64,2671,10,427,56671.0,5043.0,451,1325.0,0.089,0.02338,0,112,1,0,7.12,0,0,1,0
vid_00047,vs Secret Viral Inside Amazing First Explained How Last 2024 Guide New 2024 New Challenge Exp,25,News & Politics,2023-11-05 12:00:00,13,5,93,1006,0,612,252568.0,12837.0,642,4811.0,0.0508,0.019048,0,222,1,0,10.2,1,0,0,0
vid_00048,Ultimate 2024 Reaction Real Secret Reactio,17,Sports,2023-02-06 00:00:00,17,5,42,430,20,2803,610363.0,32139.0,1789,9035.0,0.0527,0.014803,1,122,0,1,46.72,1,0,0,1
vid_00049,Reaction Exposed Best Breaking New Ultimate Inside Guide,17,Sports,2023-10-07 08:00:00,8,1,56,3699,2,3536,643974.0,46361.0,2198,15198.0,0.072,0.0236,1,128,1,1,58.93,0,0,0,1
vid_00050,Inside Inside Challenge Inside Reaction New Explained Ultimate Secret Review Viral First 2024 ,25,News & Politics,2023-10-19 20:00:00,20,4,94,4943,16,1630,22881187.0,2535345.0,127906,178919.0,0.1108,0.007819,0,216,1,1,27.17,0,1,0,0
vid_00051,Official Viral Last How First Review 2024 Viral Secret Tutorial Amazing Real Amazing Secre,23,Comedy,2023-01-03 08:00:00,1,1,90,288,27,3322,304453.0,13232.0,1198,6958.0,0.0435,0.022854,0,114,0,0,55.37,0,0,0,0
vid_00052,Best 2024 Breaking Viral Last Why Why Last Secret New Why Breaking Reaction Challen,10,Music,2023-09-18 04:00:00,19,3,83,1155,18,337,1175095.0,122606.0,9922,30665.0,0.1043,0.026096,1,118,0,1,5.62,0,1,0,0
vid_00053,Review Exposed ,22,People & Blogs,2023-04-16 16:00:00,14,5,15,1436,13,3068,32709.0,1838.0,39,866.0,0.0562,0.026475,1,233,0,0,51.13,1,0,1,0
vid_00054,Top Real First 2024 Guide Amazing Why Challenge Real ,24,Entertainment,2023-06-30 12:00:00,6,0,53,2602,21,2875,460130.0,47288.0,3070,10917.0,0.1028,0.023726,0,58,0,0,47.92,0,0,0,1
vid_00055,Tutorial Reaction Challenge vs ,20,Gaming,2023-06-06 16:00:00,11,0,31,2299,29,2796,928493.0,104756.0,10437,11914.0,0.1128,0.012832,1,247,0,1,46.6,0,0,0,0
vid_00056,Exposed Challenge 2024 Explained Inside Reaction ,17,Sports,2023-03-24 12:00:00,7,4,49,1577,22,2543,40938.0,2803.0,178,1206.0,0.0685,0.029458,0,205,0,0,42.38,0,0,0,1
vid_00057,Secret Tutorial Reaction Breaking Viral Explained vs Inside ,28,Science & Technology,2023-05-23 20:00:00,14,3,60,1717,7,128,90591.0,5694.0,459,1087.0,0.0629,0.011999,0,222,1,0,2.13,0,0,0,1
vid_00058,2024 New Secret Breaking Last Top Inside Why Best Amazin,23,Comedy,2023-07-13 12:00:00,2,2,56,4182,12,1295,1619934.0,165557.0,13114,31621.0,0.1022,0.01952,1,75,1,1,21.58,0,0,1,1
vid_00059,2024 Guide First Review Why Challenge New Reaction Be,20,Gaming,2023-03-13 04:00:00,13,3,53,2741,26,187,182029.0,14135.0,587,1032.0,0.0777,0.005669,0,77,1,0,3.12,0,0,0,1
vid_00060,2024 Exposed Exposed vs Amazing Top vs Secret Explained Challen,22,People & Blogs,2023-04-11 12:00:00,16,0,63,3722,19,2687,367847.0,33694.0,1464,10826.0,0.0916,0.029431,0,89,0,0,44.78,0,0,0,0
vid_00061,Inside Amazing Secret Explained Why Official vs Amazing Exposed Real Guide G,27,Education,2023-01-07 16:00:00,3,0,76,2046,2,583,1171036.0,100773.0,7574,25078.0,0.0861,0.021415,0,192,0,1,9.72,0,0,0,0
vid_00062,Official Ultimate vs Exposed Review Exposed Exposed ,24,Entertainment,2023-03-27 20:00:00,17,5,52,1475,4,680,21887844.0,957811.0,52678,500092.0,0.0438,0.022848,1,183,1,1,11.33,1,0,0,1
vid_00063,Why Inside Inside Breaking Tutorial C,17,Sports,2023-04-07 16:00:00,7,3,37,2862,8,2997,356149.0,37762.0,2316,1035.0,0.106,0.002906,0,76,1,0,49.95,0,0,1,0
vid_00064,2024 Last vs First Last Last Reactio,24,Entertainment,2023-10-28 04:00:00,3,3,36,3297,28,2304,12290269.0,585259.0,43403,284385.0,0.0476,0.023139,1,87,0,1,38.4,0,0,0,0
vid_00065,Ultimate Exposed S,20,Gaming,2023-01-12 04:00:00,1,0,18,2642,5,2500,13019.0,1482.0,118,305.0,0.1138,0.023425,0,245,1,0,41.67,0,0,0,0
vid_00066,Amazing Exposed Tutorial Ultimate Viral First Exposed Viral Sec,24,Entertainment,2023-01-25 20:00:00,5,2,63,1540,24,3173,577840.0,30366.0,1045,11834.0,0.0526,0.02048,0,252,0,1,52.88,0,0,0,0
vid_00067,First Explained Why Inside Last Exposed Real Challenge Inside Best Review,27,Education,2023-02-18 04:00:00,21,4,73,1274,21,2320,339459.0,32604.0,756,3213.0,0.096,0.009465,0,134,0,0,38.67,0,1,0,0
vid_00068,New Breaking Challenge vs Guide New Real Amazing Challenge Challenge Official First Gui,20,Gaming,2023-04-16 04:00:00,9,6,87,2637,1,2607,169663.0,9436.0,342,2579.0,0.0556,0.015201,0,113,1,0,43.45,1,0,0,0
vid_00069,Secret Secret Top Real First Viral First Ultimate Challenge How Tutorial Best Real,17,Sports,2023-10-25 00:00:00,3,4,82,3114,12,1098,1735563.0,101705.0,5662,7293.0,0.0586,0.004202,0,79,0,1,18.3,0,0,1,0
vid_00070,Guide Ultimate First Breaking Official Real New Why Amazing Breaking How Tutorial Ult,10,Music,2023-01-02 12:00:00,21,3,85,882,4,1525,484036.0,28025.0,1143,7103.0,0.0579,0.014674,1,148,0,0,25.42,0,1,0,0
vid_00071,New Guide Ultima,28,Science & Technology,2023-06-07 16:00:00,17,4,16,4742,27,2448,13290.0,1293.0,79,107.0,0.0973,0.008051,1,180,0,0,40.8,0,0,0,0
vid_00072,Breaking Top Why Explained Ultimate Tutorial Best First Explain,20,Gaming,2023-10-26 12:00:00,11,0,63,2490,26,1908,25360.0,2031.0,30,282.0,0.0801,0.011119,0,239,0,0,31.8,0,0,0,0
vid_00073,Explained Last Explained Explained Challenge ,26,Howto & Style,2023-09-25 20:00:00,1,0,45,4845,24,2729,2052810.0,224712.0,12556,11732.0,0.1095,0.005715,1,61,1,1,45.48,0,0,0,1
vid_00074,Tutorial Ultimate 2024 Review Explained vs Guide Real ,27,Education,2023-08-06 00:00:00,9,3,54,1696,7,2766,29378.0,1694.0,73,225.0,0.0577,0.007659,1,140,0,0,46.1,0,0,0,1
vid_00075,Secret New Reaction 2024 New 2024 Review vs Guide 2024 First L,20,Gaming,2023-05-31 20:00:00,3,3,62,490,22,763,1702959.0,157147.0,9133,5484.0,0.0923,0.00322,0,79,0,1,12.72,0,0,0,0
vid_00076,Top Tutorial Inside Amazing Best Breaking Exposed Guide Exposed E,20,Gaming,2023-04-23 12:00:00,13,6,65,1579,0,1980,636890.0,62265.0,2990,17627.0,0.0978,0.027677,1,87,1,1,33.0,1,0,0,0
vid_00077,Explained First Reaction How Amazing 2024 Challenge Secre,26,Howto & Style,2023-10-09 12:00:00,15,6,57,3015,19,121,411909.0,17972.0,639,6747.0,0.0436,0.01638,1,134,0,0,2.02,1,0,0,1
vid_00078,How Review Guide Guide Viral How Tutorial Guide Challenge Secret Insi,17,Sports,2023-08-13 16:00:00,14,5,69,2417,11,3123,527249.0,34826.0,3182,6593.0,0.0661,0.012505,1,109,0,1,52.05,1,0,1,0
vid_00079,Exposed Why Top Best Explained New Secret Secret Ultimate How A,20,Gaming,2023-01-25 00:00:00,7,3,63,3336,22,2249,1285073.0,94393.0,2513,21224.0,0.0735,0.016516,1,87,1,1,37.48,0,0,0,0
vid_00080,Exposed Real Breaking Review Best Amazing 2024 First Breaking Guide Viral First Official React,28,Science & Technology,2023-08-11 08:00:00,13,2,94,4713,10,1657,63757.0,3953.0,281,1225.0,0.062,0.019213,0,153,1,0,27.62,0,0,1,0
vid_00081,New vs Ultimate Amazing Real First Inside Exposed Why Review Breaking U,24,Entertainment,2023-05-16 08:00:00,22,4,71,4381,6,1245,549016.0,32386.0,3018,15226.0,0.059,0.027733,1,192,0,1,20.75,0,0,0,0
vid_00082,Ultimate Ultimate Explained Real Real Best Explained 2024 Last How Secret Challenge Review ,17,Sports,2023-01-16 16:00:00,7,3,91,1354,14,1130,68269.0,6265.0,366,422.0,0.0918,0.006181,0,195,0,0,18.83,0,0,1,0
vid_00083,Exposed Inside Guide Reaction,28,Science & Technology,2023-02-06 08:00:00,20,1,29,3084,21,1334,831538.0,41101.0,3652,7958.0,0.0494,0.00957,0,229,1,1,22.23,0,1,0,0
vid_00084,Viral Ultimate Tutorial Tutorial New Top ,17,Sports,2023-06-24 20:00:00,15,5,41,3738,23,1417,1791797.0,168151.0,3570,52495.0,0.0938,0.029297,1,78,0,1,23.62,1,0,0,1
vid_00085,How Official Ultimate Official How Tutorial Secret Tutorial Challenge 2024 Reactio,28,Science & Technology,2023-01-12 08:00:00,12,1,82,4023,10,208,715705.0,81700.0,4447,8419.0,0.1142,0.011763,0,161,0,1,3.47,0,0,1,0
vid_00086,vs Review Best Explained Secret Explained Guide Review Exposed vs Breaking Best vs Secret Expo,27,Education,2023-09-15 16:00:00,17,0,94,1235,28,2315,1521558.0,123045.0,6291,2517.0,0.0809,0.001654,1,237,0,1,38.58,0,0,0,0
vid_00087,Tutorial Amazing New Explained Top Challenge Explained Challenge Review Reacti,28,Science & Technology,2023-08-17 20:00:00,14,6,78,3312,21,3236,125488.0,10670.0,114,662.0,0.085,0.005275,0,70,1,0,53.93,1,0,0,0
vid_00088,2024 Ultimate 2024 Review Exposed Real Why E,25,News & Politics,2023-03-03 04:00:00,20,4,44,2157,25,2954,700547.0,25362.0,1265,1235.0,0.0362,0.001763,1,194,0,1,49.23,0,1,0,1
vid_00089,Best Top Real Inside Guide Guide Explained Secret ,28,Science & Technology,2023-07-27 20:00:00,23,3,50,1890,15,2979,437587.0,47173.0,2038,12999.0,0.1078,0.029706,1,195,1,0,49.65,0,0,1,1
vid_00090,2024 Viral Best Tutorial Best How Best Top Viral Official vs New Inside Top Viral,10,Music,2023-09-19 12:00:00,12,1,81,4370,2,309,256224.0,14269.0,1002,2328.0,0.0557,0.009086,0,234,1,0,5.15,0,0,0,0
vid_00091,Real How New Last Why New Exposed Breaking Top Tutorial Officia,10,Music,2023-07-06 12:00:00,8,4,63,2797,19,1072,120403.0,10276.0,970,3345.0,0.0853,0.027781,1,168,1,0,17.87,0,0,0,0
vid_00092,Ultimate Amazing Ultimate Secret First Exposed Viral How Best Official Real 2024 Secret Br,23,Comedy,2023-01-14 08:00:00,14,0,90,4727,13,1648,280632.0,33148.0,587,8385.0,0.1181,0.029879,1,214,1,0,27.47,0,0,1,0
vid_00093,How Top Why Why Tutorial First Why Top Real Explained 2024 Inside Las,25,News & Politics,2023-08-30 12:00:00,12,6,69,4314,2,2817,68657.0,5739.0,226,1262.0,0.0836,0.018381,1,109,0,0,46.95,1,0,0,0
vid_00094,First Guide Explained 2024 Challenge Secret Real vs How Reaction Inside Viral vs Viral Ultimate Why,25,News & Politics,2023-10-12 00:00:00,0,2,99,3183,0,400,24107.0,2295.0,114,47.0,0.0952,0.00195,1,215,1,0,6.67,0,0,0,0
vid_00095,Best Viral Reaction Viral 2024 Inside Top Challenge Viral How Breaking,24,Entertainment,2023-10-22 20:00:00,6,5,70,3470,25,1830,125330.0,8782.0,447,421.0,0.0701,0.003359,0,189,0,0,30.5,1,0,0,0
vid_00096,Secret vs Real Inside How Explained First Top Amazing vs Tutorial Amazing Explaine,25,News & Politics,2023-06-18 12:00:00,8,4,82,1515,20,3213,1365085.0,48368.0,3856,20429.0,0.0354,0.014965,0,252,1,1,53.55,0,0,0,0
vid_00097,Best Real Why Last Review Viral Explained How Official Why,24,Entertainment,2023-07-25 08:00:00,23,4,58,4159,14,2947,889974.0,90585.0,4520,11372.0,0.1018,0.012778,0,162,1,1,49.12,0,0,1,1
vid_00098,2024 Explained How Breaking First Tutorial Ul,23,Comedy,2023-03-21 12:00:00,0,2,45,2261,0,1733,58289.0,1932.0,24,1082.0,0.0331,0.018562,1,250,0,0,28.88,0,0,0,1
vid_00099,Viral Best Exposed 2024 Challenge First Last Exposed Viral Best Ultimate,23,Comedy,2023-08-23 12:00:00,11,4,72,2854,16,3096,213028.0,19824.0,1465,2924.0,0.0931,0.013726,0,178,1,0,51.6,0,0,0,0
vid_00100,Secret How Last Reaction Tutorial Ultimate Secret Explained New vs ,27,Education,2023-01-10 04:00:00,7,0,67,1593,1,2298,1769481.0,56734.0,5085,49701.0,0.0321,0.028088,1,107,1,1,38.3,0,0,0,0
vid_00101,Ultimate Ultimate Guide Ultimate Official Top How Real Explained Amazing New Why Why 2024 Review B,10,Music,2023-05-18 08:00:00,23,0,98,1739,28,2997,226947.0,24421.0,1373,3746.0,0.1076,0.016506,1,52,0,0,49.95,0,0,0,0
vid_00102,Ultimate Inside How Review Why Top Explained How Top Real Inside Guide Ultimate Amazing How R,28,Science & Technology,2023-09-19 16:00:00,10,2,93,1621,19,333,39647.0,1751.0,109,837.0,0.0442,0.021111,1,240,1,0,5.55,0,0,0,0
vid_00103,Reaction 2024 Guide Best Best Top Off,28,Science & Technology,2023-07-05 20:00:00,18,5,37,4591,5,1378,33913340.04999998,2749465.0,67813,585482.84,0.0763,0.026998,0,198,1,1,22.97,1,1,0,0
vid_00104,Inside Breaking Best Tutorial Challenge Ul,26,Howto & Style,2023-02-02 16:00:00,16,3,42,3329,7,1490,360332.0,30175.0,900,1895.0,0.0837,0.005259,0,72,1,0,24.83,0,0,0,1
vid_00105,Challenge How Last First Ultim,26,Howto & Style,2023-09-15 08:00:00,7,1,30,3591,28,2515,54478.0,3877.0,120,417.0,0.0712,0.007654,0,186,0,0,41.92,0,0,0,0
vid_00106,Official Official Best Official Breaking New Best A,22,People & Blogs,2023-04-02 20:00:00,2,3,51,4861,15,1223,794846.0,48222.0,2351,3268.0,0.0607,0.004111,0,132,1,1,20.38,0,0,1,1
vid_00107,Inside Inside New Guide Official Ul,17,Sports,2023-09-21 00:00:00,2,4,35,3073,18,2452,436121.0,31445.0,2941,2202.0,0.0721,0.005049,1,104,0,0,40.87,0,0,0,0
vid_00108,Ultimate vs Real Secret Inside New Tutorial 2024 Review Tutorial Explained Reaction Breaking ,27,Education,2023-09-26 20:00:00,0,1,93,868,0,2458,27593.0,1601.0,91,437.0,0.058,0.015837,0,159,0,0,40.97,0,0,0,0
vid_00109,Ultimate Breaking How 2024 Best,22,People & Blogs,2023-01-21 04:00:00,4,2,31,4571,2,3063,523380.0,36338.0,991,5398.0,0.0694,0.010314,0,165,0,1,51.05,0,0,0,0
vid_00110,Real Official Guide Inside vs vs Guide Reaction 202,22,People & Blogs,2023-08-30 16:00:00,9,2,51,1174,27,2091,2859147.0,178131.0,6047,37946.0,0.0623,0.013272,0,196,1,1,34.85,0,0,0,1
vid_00111,Reaction First Ultimate Breaking New Explained Best 2024 Breaking Why Explained New Guide N,20,Gaming,2023-10-24 16:00:00,6,5,91,4995,2,2820,290907.0,23551.0,1049,8579.0,0.081,0.02949,0,111,1,0,47.0,1,0,0,0
vid_00112,Amazing Viral Ultimate Challenge ,20,Gaming,2023-04-08 20:00:00,8,1,33,1179,4,698,12472.0,641.0,42,69.0,0.0514,0.005532,1,136,1,0,11.63,0,0,0,0
vid_00113,Best 2024 Breaking Reaction Reaction Challen,22,People & Blogs,2023-04-26 20:00:00,6,0,44,1752,26,529,900556.0,107147.0,5314,15024.0,0.119,0.016683,0,216,1,1,8.82,0,0,0,1
vid_00114,2024 Breaking Tutorial First Secret vs New Review Guide Sec,25,News & Politics,2023-01-19 12:00:00,8,1,59,2051,11,1444,1728648.0,129783.0,5881,6685.0,0.0751,0.003867,0,149,0,1,24.07,0,0,1,1
vid_00115,Review Exposed vs Amazing How In,17,Sports,2023-11-20 04:00:00,7,4,32,3928,11,1602,184753.0,8771.0,533,1891.0,0.0475,0.010235,0,253,0,0,26.7,0,0,1,0
vid_00116,Review Why Reaction Amazing Last How Secret Explained Last Last vs Ultimate Secret Explained,27,Education,2023-08-30 00:00:00,11,0,92,4422,19,2642,179413.0,13085.0,415,2924.0,0.0729,0.016298,1,76,1,0,44.03,0,0,0,0
vid_00117,Reaction Tutorial Inside Official Best Amazing Top Challenge Tutorial Secret,22,People & Blogs,2023-09-04 04:00:00,1,6,76,1856,12,559,30906061.0,2775455.4299999997,57069,585482.84,0.108,0.028452,0,223,1,1,9.32,1,0,1,0
